ulasan_bersih,emosi,urgensi
barang barang fungsi dpt kartu garansi nya sobek kardus,normal,1
kirim cepat twsnya build quality bagus bodynya plastik suara sih ajib bgt audiophile oiya kalo yg basshead cocok sih pake nih tws bassnya nendang bgt pairing gampang bgt sound clear detil vokal very worth to buy,senang,1
aman mantap suara bagus nya tempat ilang wkwks beli,senang,1
surprisingly suara enak utk harga bawah rb bulit quality bagus above expectation packaging rapi kirim cepat,senang,1
overall tws nya bagus banget sesuai desk mohon maaf min kartu garansi nya robek yah moga aman,senang,1
packingnya aman kualitas oke baterai awet garansi,normal,1
fast response seller barang sesuai deskripsi,senang,1
barang sesuai pesan respon seller cepat kirim cepat,senang,1
harga terjangjau kualitas material suara mantab,normal,1
packing aman barang fungsi kecewa,kecewa,3
bass nya muantabbb asa bangetttt suara jernih kirim cepat,senang,1
pesan warna pink habis yg putih bagus dengar lagu bass nya oke,senang,1
sampe aman bagus bass nya mantap clarity nya aja yg,senang,1
barang mantep design oke app fungsi sesuai ekspektasi checkout tiktoknya fernandagunsan kecewa,kecewa,3
puas beli tws soundcore ri suara jernih bassnya kuat kirim cepat tangan rekomendasi cari earbuds wireless kualitas suara harga jangkau,senang,1
kirim cepat paking nya rapi aman barang fungsi normal,senang,1
lega packing nya aman amp rapi semya fitur fungsi kualitas foto keren,senang,1
headset bagua bass treble ok cm kurir banget beli tg juni dtg tgl juli,normal,1
barang bagus suara mantab kirim lamaa,senang,1
barang oke suara mantep banget plis jasa kirim super leletttt udah bawa kurir dri pagi balikin lg haduhhh minggu barang sampe,senang,1
barang aman suara ngebass aja,normal,1
packing nya oke gelegar teman jalan,normal,1
mati belah kiri kirain cacat pabrik direset alhamdulillah nyala pas dipake baterai yg kiri yg kanan yg kiri gk bunyi gegara baterai drop suara bassnya cocok yg basshead yg suka mode flat eq aplikasi recommended harga bawah k,senang,1
packing aman produk fungsi,normal,1
barang sesuai normal cacat kyaknya moga awet packing aman rapi trimaksih,senang,1
serius worth it bgt dgn harga ribu dapet bass nendang setting equalizernya spotify,normal,1
bagus pake banget tp pakai chargernya ilang jalan sayang bgt,senang,1
kirim cepat kualitas oke packing bagus,senang,1
kualitas bagus sesuai harga tp device ku detik kresek yaa suara device ku aja,senang,1
barang terima barang sesuai pesan packingnya aman,senang,1
fungsi dgn suara mantap,senang,1
seller fast respon kwalitas barang top sesuai exspektasi thx seller,senang,1
gokil kualitas baik coba denger musik stasiun kereta bener bener anti noise,normal,1
produk dg kondisi produk asli suara mantab,normal,1
sekian kali beli kasi org emg bagus ituu kirim jg cepett kadang dapet promo yg jd harga murah tp kualitas okee,senang,1
enak dipake batrenya lumayan awetttt,normal,1
soundcore ri mantap suara bass nya sdh order yg kali,senang,1
respon seller cepat barang cakeep suara ajib packing amaaan,senang,1
kotak penyok saran depan tolong bubble wrapnya tebelin barang fungsi overall puas tws nya baterai tws nya bener awet pakai dengerin lagu nonstop volume tahan jam,senang,1
layan cepat kualitas bagus emang produk anker the best sih,senang,1
basssnya oke banget pass ga tebel suara voicenya kedengeran mic nya clear kurang emg blm support anc aja tp worth it lahh utk harga sgini koneksi bluetoothnya cepet bgt so far puass bgt productnya soundcore ri,normal,1
kokoh mic nya ragu harga segitu worth it aja mantap,senang,1
barang sesuai deskripsi kualitas barang bagus harga bawah rb suara mantab bgt pokok ga kecewa bgt dah,kecewa,3
fast respon beet ramah n barang oke,normal,1
muas anker ga obat suara empuk gurih bassnya nendhang so worth of money pairingnya mudah cepat builtnya elegan sesuai ekspektasi noise cancelling bersih jernih telpon budsnya nyaman telinga thanks anker kalo toko b aja lambat kirim kurir lelet haha,senang,1
josss paket darat langsung test sound nya treble bas nendang koneksi perangkat nya simple langsung pesan istri terima kasih soundcore,normal,1
barang terima uji fast response and recommended seller,normal,1
kualitas suara bagus harga segitu kirim cepat,senang,1
skeptis awal nyobain bagus banget,senang,1
barang udah gak ragu harga murah bass nampol noise cancelling auto gak yg ganggu thx,normal,1
indahh simple murah murah kualitas nya lebih ekspetasi top markotop,senang,1
asli keren bgt bass mantul kirim cepat ya penyok dus aja sih barang ok bgt thanks ya,senang,1
packing aman fitur fungsi,normal,1
fiturnya keren kualitas suara keren keren,senang,1
bass nya kenceng bgt amp noise cancelationnya bagus,senang,1
barang aman suara ok mantap poko puas deh,senang,1
packing nya aman amp rapih kirim nya cepat respon layan nya cepat terima kasih,senang,1
fungsi bagus tapi lg pakai naikin nurunin volume play pause dll suara notif twsnya jujur ganggu banget diupdate software biar langsung laksana perintah notif tungtung makasih,senang,1
barang kondisi tws nya enak dengar enak aktivitas moga barang awet,normal,1
barang asli bagus bass nya muantaaaap salah pilih soundcore,senang,1
mantaaap packing aman banget kirim cepat produk fungsi dg bass nya mantul,senang,1
kualitas bagus kirim cepat cepat estimasi potong diskon terima kasih,senang,1
ajiib barang cepet kualitas audio nendang bass nya,normal,1
gila banget nih tws gue udah beli merk tws harga yg keren berkwalitas bassnya bagus conectnya gampang pokok layak bintang,senang,1
khas bngt angker build qualitynya kek apotek tutup gk obat harga yg diskon jdi sih oke bngt suara oke aja gk tau ya klw d enchance sm sound core apps smoga awet tahan battrynya,normal,1
sesuai deskripsi barang lengkap kualitas sesuai,senang,1
kirim cepat barang sesuai adminnya fast respon,senang,1
masuk telinga bass nya mantap,senang,1
kualitas bagus kirim cepat packing rapi aman,senang,1
barang sesuai rusak,senang,1
packingnya rapi kualitas suara bagus bgt gak nyangka tws under k worth it to buy,senang,1
kirim kondisi barang kualitas sesuai harga,senang,1
bagus packingnya aja rem bubble warpnya tipis kemarin rumah basah hujan rembes dikit untung gaa twsnya kardus,senang,1
darat aman overall nyaman dipake sih,senang,1
packing aman segel sesuai harap thanks min,senang,1
udah bulan pake bass nya lumayan banget harga segitu,normal,1
puas barang original bagus kirim cepat belanja kali,senang,1
kirim cepat barang oke recommended seller top,senang,1
tes bass nya bener enak kirim nya express moga awet,normal,1
coba kwalitas oke kirim cepat mantap toko,senang,1
gw jd nyesel beli nih earbuds uda harga murah kualitas suara jernih mantappp bass nya mantappp anker,normal,1
sound ok rim aman call lumayan jernih lawan bicara dengar mesti kenceng ngmgnya,normal,1
beli malem besok sore nyampe kualitas suara gokil sih kelas abangkuh,normal,1
mantaf kualitas sesuai iklan rekomen seller produck,senang,1
packing rapih coba suara nya mantap sihh as first experience it is a good product affordable price,senang,1
terimakasih min barang rekomendasi beli admin nya satset,senang,1
kirim cepat brng ok suara lumayan tp bassnya ok,senang,1
lumayan harga lt k tetep kalah power r,normal,1
